POI,Participants,Money,Date,Country,lat,lng
Restaurant,25,"$16,691.71",8/20/2019,Indonesia,-6.3079232,107.172085
Hotel,18,"$89,492.89",4/21/2019,Poland,50.1218351,18.3198228
Restaurant,15,"$57,590.38",10/27/2019,Poland,54.0809529,21.4937201
School,26,"$68,409.22",6/5/2019,Brazil,-16.2382608,-44.4370606
Hospital,3,"$35,210.33",9/29/2019,Morocco,32.8285457,-8.5116903
Hospital,1,"$51,750.26",10/31/2019,Philippines,13.0748879,120.7213113
Hospital,19,"$54,041.83",8/6/2019,Malaysia,2.7239834,101.9476452
Hotel,6,"$16,547.31",12/26/2019,Mauritius,-20.4780364,57.4796981
Hospital,11,"$86,563.37",7/16/2019,Armenia,41.2404491,44.8236089
Hotel,29,"$52,384.76",12/16/2019,China,29.051304,111.546653
Hotel,13,"$13,661.81",2/27/2019,Cayman Islands,19.2869323,-81.3674389
Restaurant,21,"$93,385.47",6/8/2019,North Korea,38.4215487,126.2332502
Hotel,1,"$89,213.37",4/18/2019,France,49.7666568,1.1843207
Hotel,12,"$36,386.48",7/10/2019,Sweden,62.6291355,17.953415
Hospital,24,"$51,201.21",6/3/2019,China,22.765392,112.964446
Restaurant,9,"$67,451.83",10/1/2019,Serbia,42.8414484,21.5766407
Restaurant,24,"$66,509.52",12/21/2019,Indonesia,-6.8806715,108.5017948
Hospital,16,"$14,157.63",5/20/2019,Bosnia and Herzegovina,44.4635116,18.7494454
Hospital,6,"$42,029.56",5/9/2019,Indonesia,-8.4358333,119.9916667
Hotel,6,$848.48,10/26/2019,Peru,-15.66758,-72.534439
Hotel,6,"$55,589.04",12/12/2019,Poland,51.5344639,20.6364509
School,28,"$85,180.18",5/6/2019,China,27.465141,112.424933
Hotel,8,"$28,419.32",1/4/2019,Indonesia,-6.633688,107.1573142
Restaurant,9,"$30,913.85",8/26/2019,Poland,53.3934077,17.6633805
Hospital,6,"$50,163.62",9/11/2019,Myanmar,22.1215513,95.1536327
Hospital,2,"$82,334.55",2/24/2019,Indonesia,-7.6142101,110.692877
Hotel,20,"$84,612.60",10/2/2019,Poland,49.8709627,20.3132252
School,30,"$62,819.37",11/3/2019,Indonesia,-7.5450262,111.6556388
Hospital,21,"$21,124.52",11/14/2019,Lebanon,33.9842691,35.6344491
Hotel,17,"$1,040.83",1/29/2019,Russia,58.0312993,38.6043668
Hospital,22,"$58,868.41",11/11/2019,Russia,45.299318,42.634626
Hospital,17,"$99,607.69",7/12/2019,Philippines,7.8386702,124.3387307
Hotel,26,"$21,500.67",9/9/2019,Tuvalu,-7.24562,177.14511
Restaurant,8,"$75,431.42",4/15/2019,Indonesia,-6.8229172,111.3545546
School,5,"$24,384.97",12/12/2019,Tunisia,37.0388867,9.6647636
School,6,"$7,519.93",2/2/2019,Morocco,30.3458998,-5.8406587
School,29,"$85,944.68",8/2/2019,Zimbabwe,-17.4086322,32.2256803
Hotel,29,"$33,512.61",2/3/2019,United States,39.07,-84.53
School,12,"$82,364.27",8/30/2019,Burkina Faso,12.0601649,0.3654204
Hotel,11,"$90,890.26",4/10/2019,Cuba,20.2281486,-77.2807423
Hospital,3,"$67,031.91",12/16/2019,Palestinian Territory,32.068743,35.150876
Hospital,27,"$86,078.51",5/20/2019,Ukraine,50.3676821,25.8233821
Hospital,24,"$61,284.84",5/15/2019,Sweden,57.6893251,11.9388513
Restaurant,20,"$93,704.74",7/30/2019,United States,32.7634169,-117.1230937
Hospital,22,"$88,781.85",6/6/2019,Palestinian Territory,31.896059,35.254768
School,19,"$78,623.22",5/5/2019,China,26.600973,104.8265942
Hospital,4,"$95,713.40",3/26/2019,China,24.9936281,121.3009798
Hospital,2,"$14,424.89",5/5/2019,Canada,44.891731,-76.0289414
School,30,"$66,961.30",1/9/2019,Japan,35.0133672,132.2241106
School,25,"$16,970.49",9/2/2019,Poland,50.133176,19.9262381
Hotel,26,"$8,567.92",12/6/2019,Philippines,14.3246136,120.8590469
Restaurant,30,"$72,529.38",1/12/2019,Afghanistan,34.26545,67.34516
Hospital,24,"$42,991.71",4/28/2019,United States,43.0283952,-85.7564107
Hotel,8,"$71,496.83",10/9/2019,Bosnia and Herzegovina,44.9690446,15.9431582
School,18,"$66,251.88",2/12/2019,Democratic Republic of the Congo,-5.383454,25.7456852
Restaurant,8,"$17,285.36",12/11/2019,Indonesia,2.965147,99.0626377
Restaurant,28,"$14,615.07",12/13/2019,Indonesia,-6.6328316,111.1041635
Hotel,28,"$9,715.97",2/16/2019,United Kingdom,52.753093,-2.941678
Hospital,28,"$73,244.52",8/30/2019,Bulgaria,42.5387912,26.6831949
Hotel,13,"$6,842.78",5/31/2019,Uruguay,-34.4979812,-56.0389343
School,9,"$92,084.26",6/4/2019,Angola,-14.6594083,17.6984879
School,14,"$44,690.88",4/25/2019,South Korea,34.6816856,126.9069278
Restaurant,13,"$21,420.83",5/1/2019,United States,36.025609,-78.9853813
Hotel,28,"$47,846.73",7/4/2019,Indonesia,-8.3693974,115.6273131
Hospital,5,"$99,319.87",11/26/2019,China,28.043337,117.043407
School,7,"$89,841.08",6/5/2019,Liberia,4.3759676,-7.7009416
Restaurant,3,"$94,144.41",9/28/2019,Syria,32.7737057,35.8852393
Hotel,8,"$52,792.88",8/11/2019,Indonesia,-8.6182236,115.2276614
Restaurant,18,"$95,961.02",8/26/2019,China,36.865827,116.231416
School,4,"$42,363.80",4/13/2019,Papua New Guinea,-6.0834773,145.3862638
Hospital,5,"$56,753.33",7/19/2019,China,23.5711899,119.5793157
Restaurant,13,"$49,707.37",1/23/2019,Indonesia,-8.5693,116.6242
Restaurant,6,"$68,240.35",5/23/2019,Indonesia,-7.6752,114.0644
Hotel,6,"$83,105.63",8/14/2019,Czech Republic,49.6106567,18.735973
School,16,"$65,318.35",5/17/2019,Bulgaria,41.6338439,25.3777119
Hospital,9,"$42,718.74",8/5/2019,Sweden,56.0485726,12.6933337
Hotel,1,"$14,696.25",7/22/2019,Greece,39.3525635,21.7513868
Restaurant,26,"$31,824.04",1/21/2019,Sri Lanka,9.7998986,80.1489188
Restaurant,26,"$6,783.17",4/21/2019,Indonesia,-10.5971,121.8889
Restaurant,11,"$41,894.37",10/20/2019,China,24.923028,115.310042
School,20,"$21,191.94",10/10/2019,China,39.903307,116.649432
School,4,"$51,326.21",4/19/2019,Indonesia,-2.8852569,104.687936
Restaurant,19,"$40,981.61",12/8/2019,Tanzania,-4.0003104,35.778497
Restaurant,7,"$16,816.92",3/9/2019,Indonesia,-6.2829488,107.0833701
Hospital,11,"$37,004.21",6/11/2019,Slovenia,45.4698284,13.6405292
Restaurant,21,"$78,645.79",11/18/2019,Spain,41.5675577,-4.883185
Restaurant,4,"$9,732.75",5/11/2019,China,36.909074,93.163273
School,20,"$70,359.23",6/16/2019,Guatemala,14.6507289,-90.5128018
School,21,"$11,235.36",11/2/2019,Vietnam,9.4655111,105.8994956
School,19,"$38,009.04",4/1/2019,Indonesia,-7.7357871,108.2318208
Hotel,26,"$59,070.39",6/13/2019,Costa Rica,9.8294983,-83.8539514
Restaurant,13,"$87,779.07",5/18/2019,Brazil,-17.9659326,-49.6503106
Restaurant,26,"$3,157.51",9/8/2019,Sri Lanka,6.9280156,79.8908308
Hotel,21,"$23,276.89",11/17/2019,Mongolia,45.23223,108.28245
Hotel,16,"$54,281.48",10/1/2019,South Africa,-26.2938504,27.916505
School,23,"$38,535.91",5/28/2019,Kiribati,1.968543,-157.3936469
School,20,"$66,257.82",7/5/2019,Indonesia,-6.9480217,112.4440473
Hospital,16,"$12,222.61",6/21/2019,Indonesia,-6.8639965,107.6067354
Restaurant,19,"$28,016.38",1/19/2019,Brazil,-23.5113691,-46.872942
Hotel,17,"$26,677.74",12/22/2019,Philippines,14.5697429,121.0190818
Hotel,24,"$25,506.96",8/2/2019,China,40.505361,80.461556
Hospital,11,"$39,087.95",12/27/2019,Poland,51.4798767,19.5308953
School,1,"$92,579.14",1/26/2019,Tajikistan,38.3192083,69.046356
Hospital,5,"$33,308.24",8/25/2019,France,48.529165,-2.7586364
Hospital,21,"$57,027.31",10/27/2019,China,32.707997,110.341615
School,4,"$37,171.16",9/21/2019,Portugal,37.1358509,-8.4528179
Hospital,2,"$76,333.61",8/22/2019,Philippines,14.6927846,121.1100951
Restaurant,10,"$54,741.85",9/6/2019,Peru,-14.34823,-72.121559
Hospital,5,"$4,350.73",11/11/2019,Russia,60.0828404,30.9877334
Restaurant,30,"$38,027.16",3/13/2019,Portugal,39.61335,-8.9519943
Restaurant,17,"$23,115.49",2/21/2019,Tanzania,-5.9640712,34.1225927
Restaurant,10,"$75,925.95",10/1/2019,Brazil,-20.019494,-48.9383824
Hotel,27,"$43,277.03",12/23/2019,Indonesia,-6.8013457,111.4126837
Hotel,4,"$51,911.13",8/2/2019,China,30.378326,111.450006
School,16,"$31,644.95",1/7/2019,Portugal,40.4603188,-8.72233
Hotel,21,"$40,016.31",8/3/2019,Kosovo,42.9107635,20.8386377
Hotel,26,"$79,122.15",6/9/2019,China,29.8282551,114.3213706
School,13,"$44,518.65",7/24/2019,Brazil,-19.5906483,-46.9442412
Restaurant,12,"$63,112.26",9/16/2019,China,30.572815,104.066801
