POI,Participants,Money,Date,Country,lat,lng
Grocery Store,7,"$76,060.63",3/24/2019,New Zealand,-37.0555803,174.9213435
Bar,28,"$69,690.38",4/9/2019,Indonesia,-8.601207,115.1159883
Bank,12,"$42,537.51",4/24/2019,France,46.6473105,0.813275
Grocery Store,4,"$94,253.68",3/15/2019,China,30.2646273,78.5064473
Grocery Store,6,"$97,463.70",1/31/2019,Russia,53.9762845,43.8688442
Grocery Store,13,"$2,244.61",8/20/2019,Japan,35.7418174,139.3234464
Grocery Store,25,"$74,067.98",9/18/2019,China,47.443101,85.874096
Bank,18,"$14,611.33",11/27/2019,China,34.746611,113.625328
Bar,9,"$5,217.20",10/18/2019,Cameroon,4.087552,11.20197
Bar,2,"$58,846.01",9/13/2019,Brazil,-23.8107528,-47.1752123
Bar,10,"$41,431.29",1/22/2019,Thailand,18.4320055,98.9024603
Bar,19,"$30,699.73",5/3/2019,China,26.489558,119.549776
Bar,14,"$34,847.78",11/22/2019,Peru,-8.3928622,-74.5826166
Gas Station,27,"$47,947.58",11/28/2019,Philippines,9.993407,122.750324
Gas Station,9,"$87,553.44",2/15/2019,Russia,57.5394675,28.0121149
Grocery Store,29,"$82,076.96",8/22/2019,Portugal,37.0901727,-8.2111164
Bar,20,"$4,827.83",11/10/2019,China,22.974898,113.993115
Grocery Store,30,"$79,454.32",6/27/2019,Indonesia,-6.8626591,111.2308467
Bank,25,"$8,365.44",2/7/2019,Philippines,8.157005,123.3464285
Bar,16,"$10,716.61",11/10/2019,Norway,60.3560649,5.3446343
Bar,5,"$83,179.23",5/8/2019,Indonesia,-6.490877,106.7952511
Gas Station,12,"$17,290.68",12/6/2019,France,48.4046776,-0.9746208
Bank,14,"$9,225.16",1/5/2019,Ukraine,49.5015691,23.9633999
Grocery Store,25,"$98,617.45",11/13/2019,Philippines,18.04406,121.71871
Grocery Store,19,"$31,447.93",9/27/2019,Brazil,-23.351784,-47.6931718
Bank,8,"$26,549.65",7/19/2019,Nigeria,7.6292088,4.1872178
Grocery Store,19,"$32,224.92",5/24/2019,Uzbekistan,41.2471491,71.5427212
Grocery Store,9,"$21,262.71",3/8/2019,China,32.663268,96.609741
Bar,30,"$56,906.59",8/13/2019,China,36.806669,118.017938
Grocery Store,13,"$93,110.54",4/15/2019,China,26.982106,117.980053
Bank,11,"$89,402.86",12/28/2019,Mexico,25.5822549,-100.9086492
Bar,14,"$43,547.83",3/24/2019,Ecuador,0.2343005,-78.2610672
Bar,12,"$10,222.51",5/18/2019,China,30.031533,101.014425
Gas Station,16,"$30,508.38",6/28/2019,China,30.2638032,102.8054753
Bar,27,"$63,934.97",9/3/2019,Thailand,16.4267638,103.1048449
Bar,11,"$23,418.61",9/8/2019,Brazil,-21.9896473,-47.4220818
Gas Station,9,"$39,658.96",12/9/2019,United Kingdom,51.59119,-1.407848
Grocery Store,4,"$18,616.01",5/5/2019,Poland,54.4823669,17.486283
Grocery Store,11,"$35,248.58",11/11/2019,Bosnia and Herzegovina,44.1799774,18.9418196
Grocery Store,9,"$66,911.25",9/4/2019,China,22.814304,115.955191
Grocery Store,16,"$14,348.71",5/29/2019,Indonesia,-6.8174513,106.3683065
Grocery Store,30,"$39,369.13",8/13/2019,Colombia,7.1170609,-73.1526623
Grocery Store,6,"$85,247.13",5/14/2019,China,32.748741,103.82319
Grocery Store,20,"$64,053.35",12/19/2019,France,46.791046,4.840663
Bank,30,"$48,071.06",2/2/2019,Brazil,-9.9061087,-63.0330263
Bank,30,"$67,415.93",11/29/2019,China,31.364902,108.249509
Gas Station,28,"$96,675.98",12/14/2019,Azerbaijan,40.4742778,49.8255553
Gas Station,29,"$4,793.48",3/11/2019,Peru,-16.8093546,-70.6954668
Grocery Store,14,"$24,662.67",8/23/2019,Brazil,-19.4746347,-42.5264409
Bar,24,"$55,609.00",7/1/2019,France,47.3752386,-0.8453268
Bar,27,"$45,304.23",7/11/2019,Peru,-11.1227218,-77.6105679
Bar,10,"$43,741.47",3/8/2019,Colombia,7.579029,-75.349545
Bank,5,"$7,503.63",3/3/2019,Japan,33.4180537,131.6156723
Bank,28,"$40,943.42",6/28/2019,United States,31.77,-106.43
Bar,28,"$4,573.14",1/31/2019,Ukraine,46.3601437,32.3522621
Bank,26,"$35,925.40",12/7/2019,China,22.919228,115.652151
Grocery Store,26,"$24,135.81",6/15/2019,China,31.2303904,121.4737021
Bar,9,"$19,608.69",3/12/2019,Greece,40.2201203,23.6688433
Bar,4,"$68,115.69",7/18/2019,Brazil,-10.249091,-48.3242858
Gas Station,14,"$11,702.39",1/3/2019,Indonesia,-7.5450262,111.6556388
Grocery Store,29,"$90,718.53",12/22/2019,China,35.664323,117.251195
Gas Station,11,"$68,252.11",12/10/2019,France,43.586204,1.6250849
Bar,26,"$97,538.68",6/15/2019,Philippines,14.3586387,120.9332234
Grocery Store,25,"$79,675.64",2/21/2019,China,30.532847,105.592898
Bank,19,"$81,866.19",8/31/2019,Myanmar,17.3220711,96.4663286
Gas Station,10,"$15,809.14",5/30/2019,China,28.65638,121.42076
Grocery Store,7,"$85,878.71",4/9/2019,China,39.9510514,116.3380904
Bank,6,"$10,494.98",9/6/2019,United States,37.3326639,-121.8918364
Bar,28,"$27,281.26",2/1/2019,South Africa,-33.8880642,18.9591376
Bar,24,"$4,857.70",5/30/2019,Mexico,17.6444514,-101.5610424
Gas Station,18,"$79,748.24",9/22/2019,Czech Republic,49.9114346,17.6628187
Gas Station,10,"$79,678.42",6/16/2019,China,29.831643,120.307334
Gas Station,10,"$58,015.79",6/28/2019,Indonesia,-6.7726186,110.8791343
Grocery Store,22,"$67,472.77",5/6/2019,Indonesia,-7.0837242,108.4928912
Bank,17,"$50,074.10",5/10/2019,Colombia,1.160532,-76.6181655
Bank,28,"$37,960.33",9/29/2019,Russia,56.4837532,84.9815185
Bar,24,"$3,715.58",2/13/2019,France,48.892701,2.233089
Gas Station,8,"$58,955.20",3/28/2019,Indonesia,-8.6306506,115.284695
Gas Station,15,"$46,657.04",6/22/2019,Thailand,18.3637867,103.651666
Bank,27,"$73,229.74",8/5/2019,Russia,43.2038704,44.8434843
Bar,10,"$82,994.84",7/19/2019,Thailand,14.4612646,100.5577407
Gas Station,3,"$70,233.97",4/16/2019,Philippines,15.252,120.0169
Grocery Store,10,"$70,198.97",2/10/2019,Argentina,-34.7942024,-58.2622254
Grocery Store,22,"$23,524.21",2/2/2019,Philippines,8.956049,125.596794
Grocery Store,16,"$37,525.02",5/10/2019,Peru,-15.4384565,-74.6180833
Bank,8,"$43,509.22",8/3/2019,Russia,45.1141124,41.0051614
Bar,11,"$97,138.96",12/7/2019,United States,37.2422863,-121.7309452
Gas Station,29,"$33,912.53",1/30/2019,Croatia,45.7307005,15.9513163
Bank,28,"$27,402.00",1/3/2019,China,39.9378208,116.4103205
Gas Station,26,"$34,891.80",1/3/2019,China,42.896428,130.585349
Grocery Store,10,"$79,266.35",2/6/2019,Indonesia,-8.7176937,115.5625434
Bank,15,"$31,559.82",5/3/2019,Aruba,12.5092044,-70.0086306
Bank,11,"$32,303.34",8/3/2019,Indonesia,-1.550129,103.449501
Gas Station,19,"$75,051.55",11/23/2019,Ukraine,48.3226457,31.5187617
Bank,13,"$84,595.14",4/24/2019,Kazakhstan,50.4233463,80.250811
Bar,15,"$49,537.28",1/16/2019,China,41.4642919,-74.3623566
Grocery Store,25,"$69,787.74",12/6/2019,Indonesia,-6.2291489,106.8548083
Bar,15,"$80,791.74",1/23/2019,China,33.755453,111.648408
Bank,16,"$11,139.73",1/30/2019,Indonesia,-7.9865988,112.4589481
Grocery Store,19,"$26,064.90",12/9/2019,Russia,54.1456181,45.2504398
Bar,9,"$31,448.26",2/4/2019,Argentina,-34.7507886,-58.2558295
Bar,12,"$62,520.68",12/15/2019,Czech Republic,50.1283894,15.9182326
Gas Station,13,"$75,943.25",6/13/2019,Sweden,57.6735995,12.0098218
Bar,16,"$49,986.61",9/22/2019,United States,40.6681669,-73.9800645
Gas Station,16,"$79,928.37",11/5/2019,Russia,59.834171,30.5188521
Bar,22,"$32,017.37",3/28/2019,Indonesia,3.5775446,98.6684374
Grocery Store,2,"$40,838.86",6/29/2019,South Africa,-30.7102921,27.2382163
Gas Station,18,"$49,762.80",10/24/2019,Canada,42.7665598,-81.1747498
Bar,2,"$94,107.28",12/5/2019,China,36.448127,116.0625588
Bar,6,"$29,678.35",2/23/2019,China,23.4464152,120.2570421
Gas Station,6,"$68,360.06",8/8/2019,Indonesia,-6.9401945,106.9247932
Gas Station,20,$619.83,8/11/2019,Philippines,15.6432256,120.8898149
Bar,1,"$56,549.03",12/18/2019,South Korea,35.8714354,128.601445
Gas Station,26,"$85,227.91",6/4/2019,Philippines,14.1507357,120.878102
Grocery Store,11,"$26,941.91",8/16/2019,Indonesia,-4.9333,122.5167
Gas Station,22,"$5,044.25",6/14/2019,China,43.817071,125.323544
Grocery Store,30,"$49,158.31",8/14/2019,Japan,36.3197441,139.7523465
Bar,22,"$94,513.45",3/23/2019,China,36.759507,110.632006
Gas Station,2,"$23,490.25",5/27/2019,Russia,52.5666667,78.9472223
Bar,17,"$22,525.00",10/8/2019,Botswana,-24.988061,25.3430203
Bar,8,"$43,060.60",5/21/2019,Indonesia,-7.4726134,112.6675398
Grocery Store,8,"$55,487.70",8/29/2019,China,26.480043,113.778639
Gas Station,25,"$60,745.58",5/12/2019,Indonesia,-7.0392183,109.9020509
Bar,22,"$9,244.24",5/12/2019,Philippines,14.5788472,121.0143656
Grocery Store,29,"$87,387.26",8/21/2019,Philippines,11.4145346,124.8469591
Grocery Store,6,"$9,728.48",4/4/2019,China,38.669386,106.419798
Bank,5,"$83,999.42",11/11/2019,Argentina,-34.6091049,-58.7005845
Gas Station,4,"$42,942.13",3/13/2019,Brazil,-3.9148823,-60.8609358
Grocery Store,3,"$85,185.12",11/25/2019,Indonesia,-6.5294,106.1719
Bar,3,"$21,355.63",7/16/2019,Philippines,10.5712156,122.944471
Bank,1,"$76,742.21",3/18/2019,China,31.12678,104.167501
Bar,4,"$40,894.82",6/15/2019,Greece,39.1020713,21.0837161
Bank,2,"$68,766.22",12/2/2019,Palestinian Territory,32.113366,35.077465
Grocery Store,15,"$32,722.24",3/11/2019,Czech Republic,49.5255788,18.3904377
Grocery Store,8,"$94,870.27",1/6/2019,China,26.0882134,119.3010346
Bar,29,"$67,953.21",11/30/2019,Finland,61.7644425,23.0729829
Bar,24,"$53,469.47",8/13/2019,China,30.601966,115.438847
Bank,24,"$33,446.86",10/2/2019,China,46.592721,131.164723
Bar,28,"$9,336.20",5/31/2019,Russia,58.4126605,51.2826021
Gas Station,7,"$44,070.00",3/28/2019,Kuwait,29.3664336,48.000698
Gas Station,11,"$15,173.60",6/26/2019,Central African Republic,4.3320676,18.5166348
Bank,12,"$25,864.51",7/24/2019,China,40.058197,116.408772
Bar,27,"$55,135.78",12/13/2019,Greece,36.6759691,25.1059054
Bar,7,"$92,708.19",12/5/2019,Tanzania,-1.8413007,34.6690605
Grocery Store,23,"$71,371.22",5/4/2019,Sweden,59.397367,16.4816867
Grocery Store,1,"$45,127.28",10/18/2019,Indonesia,-6.7047548,111.1280093
Bar,4,"$93,086.87",9/29/2019,Russia,56.0184306,87.8550409
Bank,26,"$95,425.35",12/3/2019,Serbia,44.6711569,20.5029521
Bank,13,"$8,042.21",11/5/2019,Portugal,-34.5006776,-58.8072561
Bar,4,"$22,718.50",9/9/2019,Mozambique,-15.1266347,39.2687161
Bar,20,"$33,036.75",6/9/2019,China,42.972096,126.746309
Gas Station,22,"$86,329.47",5/21/2019,Indonesia,-6.5816812,105.8818766
Bank,19,"$65,347.16",11/22/2019,France,47.3892142,0.6942885
